Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
-0.11864000000,74.40000,328.00000,-84.00000
-0.11862000000,-0.80000,332.00000,-82.00000
-0.11860000000,0.00,328.00000,-88.00000
-0.11858000000,0.80000,332.00000,-90.00000
-0.11856000000,3.20000,332.00000,-88.00000
-0.11854000000,78.40000,332.00000,-86.00000
-0.11852000000,73.60000,332.00000,-84.00000
-0.11850000000,0.80000,332.00000,-92.00000
-0.11848000000,0.80000,332.00000,-92.00000
-0.11846000000,82.40000,332.00000,-88.00000
-0.11844000000,75.20001,332.00000,-88.00000
-0.11842000000,-0.80000,332.00000,-86.00000
-0.11840000000,1.60000,332.00000,-88.00000
-0.11838000000,0.80000,332.00000,-96.00000
-0.11836000000,2.40000,332.00000,-92.00000
-0.11834000000,75.20001,332.00000,-88.00000
-0.11832000000,75.20001,332.00000,-92.00000
-0.11830000000,0.80000,332.00000,-96.00000
-0.11828000000,0.80000,332.00000,-96.00000
-0.11826000000,79.20001,332.00000,-92.00000
-0.11824000000,75.20001,332.00000,-90.00000
-0.11822000000,0.80000,332.00000,-90.00000
-0.11820000000,-0.80000,332.00000,-94.00000
-0.11818000000,2.40000,332.00000,-98.00000
-0.11816000000,0.80000,332.00000,-94.00000
-0.11814000000,76.80001,332.00000,-92.00000
-0.11812000000,76.00000,332.00000,-94.00000
-0.11810000000,0.80000,332.00000,-100.00000
-0.11808000000,0.00,336.00000,-98.00000
-0.11806000000,78.40000,332.00000,-96.00000
-0.11804000000,76.00000,332.00000,-94.00000
-0.11802000000,-0.80000,332.00000,-92.00000
-0.11800000000,1.60000,332.00000,-96.00000
-0.11798000000,0.80000,332.00000,-100.00000
-0.11795998750,1.60000,336.00000,-98.00000
-0.11793998750,76.00000,332.00000,-96.00000
-0.11792000000,76.00000,332.00000,-98.00000
-0.11789998750,1.60000,336.00000,-102.00000
-0.11788000000,0.00,332.00000,-100.00000
-0.11786000000,76.80001,336.00000,-98.00000
-0.11783998750,75.20001,332.00000,-96.00000
-0.11782000000,0.00,332.00000,-96.00000
-0.11780000000,0.80000,332.00000,-100.00000
-0.11777998750,1.60000,336.00000,-104.00000
-0.11776000000,3.20000,332.00000,-100.00000
-0.11773998750,76.00000,332.00000,-96.00000
-0.11771998750,75.20001,336.00000,-100.00000
-0.11770000000,0.00,332.00000,-104.00000
-0.11767998750,1.60000,332.00000,-102.00000
-0.11765998750,78.40000,332.00000,-102.00000
-0.11764000000,76.00000,336.00000,-98.00000
-0.11761998750,0.00,332.00000,-98.00000
-0.11760000000,1.60000,332.00000,-100.00000
-0.11758000000,1.60000,336.00000,-106.00000
-0.11755998750,3.20000,332.00000,-102.00000
-0.11754000000,76.00000,332.00000,-98.00000
-0.11752000000,75.20001,336.00000,-102.00000
-0.11749998750,0.80000,336.00000,-104.00000
-0.11748000000,2.40000,336.00000,-106.00000
-0.11746000000,80.80001,336.00000,-102.00000
-0.11743998750,76.00000,336.00000,-100.00000
-0.11742000000,-0.80000,336.00000,-98.00000
-0.11740000000,2.40000,332.00000,-102.00000
-0.11737998750,0.80000,332.00000,-108.00000
-0.11736000000,1.60000,336.00000,-102.00000
-0.11733998750,77.60000,332.00000,-102.00000
-0.11731998750,74.40000,336.00000,-104.00000
-0.11730000000,0.80000,332.00000,-108.00000
-0.11727998750,1.60000,332.00000,-106.00000
-0.11726000000,80.00000,332.00000,-104.00000
-0.11724000000,76.00000,332.00000,-102.00000
-0.11721998750,-2.40000,332.00000,-100.00000
-0.11720000000,1.60000,332.00000,-104.00000
-0.11718000000,1.60000,332.00000,-108.00000
-0.11715998750,3.20000,332.00000,-106.00000
-0.11714000000,77.60000,332.00000,-102.00000
-0.11712000000,75.20001,332.00000,-104.00000
-0.11709998750,1.60000,332.00000,-108.00000
-0.11708000000,0.80000,332.00000,-108.00000
-0.11706000000,79.20001,332.00000,-104.00000
-0.11703998750,76.00000,332.00000,-102.00000
-0.11702000000,-3.20000,332.00000,-100.00000
-0.11700000000,0.80000,332.00000,-104.00000
-0.11698000000,2.40000,332.00000,-108.00000
-0.11696000000,2.40000,332.00000,-106.00000
-0.11693998750,76.80001,332.00000,-102.00000
-0.11692000000,75.20001,332.00000,-102.00000
-0.11690000000,0.80000,332.00000,-110.00000
-0.11687998750,1.60000,332.00000,-108.00000
-0.11686000000,88.00000,332.00000,-106.00000
-0.11684000000,75.20001,328.00000,-104.00000
-0.11681998750,-3.20000,324.00000,-102.00000
-0.11680000000,0.80000,324.00000,-106.00000
-0.11678000000,0.00,324.00000,-110.00000
-0.11675998750,1.60000,324.00000,-108.00000
-0.11674000000,79.20001,328.00000,-104.00000
-0.11672000000,75.20001,324.00000,-106.00000
-0.11669998750,4.80000,324.00000,-110.00000
-0.11668000000,3.20000,320.00000,-110.00000
-0.11666000000,74.40000,320.00000,-106.00000
-0.11664000000,69.60000,320.00000,-104.00000
-0.11662000000,-4.00000,320.00000,-102.00000
-0.11660000000,1.60000,316.00000,-106.00000
-0.11658000000,1.60000,316.00000,-110.00000
-0.11656000000,0.80000,312.00000,-106.00000
-0.11653998750,86.40000,316.00000,-104.00000
-0.11652000000,76.00000,308.00000,-100.00000
-0.11650000000,-0.80000,312.00000,-108.00000
-0.11647998750,0.80000,312.00000,-108.00000
-0.11646000000,100.80002,312.00000,-104.00000
-0.11644000000,35.20000,304.00000,-104.00000
-0.11641998750,14.40000,304.00000,-104.00000
-0.11640000000,0.80000,308.00000,-106.00000
-0.11638000000,1.60000,304.00000,-108.00000
-0.11636000000,38.40000,304.00000,-106.00000
-0.11634000000,39.20000,304.00000,-104.00000
-0.11632000000,3.20000,300.00000,-106.00000
-0.11630000000,1.60000,300.00000,-108.00000
-0.11628000000,1.60000,296.00000,-110.00000
-0.11626000000,93.60000,296.00000,-106.00000
-0.11624000000,35.20000,292.00000,-104.00000
-0.11622000000,37.60000,292.00000,-104.00000
-0.11620000000,3.20000,284.00000,-104.00000
-0.11618000000,0.80000,288.00000,-112.00000
-0.11616000000,41.60000,284.00000,-104.00000
-0.11613998750,40.00000,284.00000,-102.00000
-0.11612000000,-6.40000,284.00000,-98.00000
-0.11610000000,1.60000,284.00000,-106.00000
-0.11607998750,0.80000,280.00000,-106.00000
-0.11606000000,1.60000,280.00000,-104.00000
-0.11604000000,36.80000,280.00000,-100.00000
-0.11602000000,36.80000,276.00000,-102.00000
-0.11600000000,0.80000,272.00000,-104.00000
-0.11598000000,1.60000,272.00000,-110.00000
-0.11596000000,45.60001,272.00000,-104.00000
-0.11594000000,40.80000,272.00000,-102.00000
-0.11592000000,-2.40000,268.00000,-100.00000
-0.11590000000,0.80000,268.00000,-106.00000
-0.11588000000,0.00,268.00000,-106.00000
-0.11586000000,1.60000,268.00000,-102.00000
-0.11584000000,37.60000,264.00000,-100.00000
-0.11582000000,37.60000,264.00000,-98.00000
-0.11580000000,0.80000,256.00000,-102.00000
-0.11578000000,0.80000,260.00000,-106.00000
-0.11576000000,44.00000,260.00000,-102.00000
-0.11574000000,40.80000,256.00000,-100.00000
-0.11572000000,-1.60000,256.00000,-98.00000
-0.11570000000,1.60000,252.00000,-102.00000
-0.11568000000,-0.80000,252.00000,-104.00000
-0.11566000000,2.40000,252.00000,-100.00000
-0.11564000000,37.60000,248.00000,-98.00000
-0.11562000000,38.40000,248.00000,-100.00000
-0.11560000000,1.60000,248.00000,-102.00000
-0.11558000000,1.60000,244.00000,-104.00000
-0.11556000000,40.80000,244.00000,-100.00000
-0.11554000000,41.60000,240.00000,-98.00000
-0.11552000000,-0.80000,240.00000,-96.00000
-0.11550000000,-1.60000,240.00000,-102.00000
-0.11548000000,0.80000,232.00000,-102.00000
-0.11546000000,3.20000,236.00000,-98.00000
-0.11544000000,39.20000,232.00000,-96.00000
-0.11542000000,38.40000,236.00000,-98.00000
-0.11540000000,1.60000,228.00000,-98.00000
-0.11538000000,2.40000,232.00000,-100.00000
-0.11536000000,39.20000,232.00000,-96.00000
-0.11534000000,40.00000,228.00000,-96.00000
-0.11532000000,2.40000,228.00000,-94.00000
-0.11530000000,2.40000,224.00000,-98.00000
-0.11528000000,0.80000,224.00000,-98.00000
-0.11526000000,0.00,220.00000,-96.00000
-0.11524000000,40.00000,224.00000,-94.00000
-0.11522000000,39.20000,220.00000,-94.00000
-0.11520000000,1.60000,220.00000,-96.00000
-0.11518000000,0.80000,216.00000,-98.00000
-0.11516000000,40.00000,212.00000,-94.00000
-0.11514000000,40.80000,216.00000,-92.00000
-0.11512000000,1.60000,208.00000,-90.00000
-0.11510000000,1.60000,208.00000,-94.00000
-0.11508000000,1.60000,208.00000,-96.00000
-0.11506000000,2.40000,208.00000,-94.00000
-0.11504000000,39.20000,204.00000,-90.00000
-0.11502000000,40.00000,208.00000,-90.00000
-0.11500000000,1.60000,200.00000,-94.00000
-0.11498000000,3.20000,200.00000,-92.00000
-0.11496000000,38.40000,200.00000,-90.00000
-0.11494000000,40.80000,196.00000,-90.00000
-0.11492000000,2.40000,196.00000,-88.00000
-0.11490000000,3.20000,196.00000,-90.00000
-0.11488000000,1.60000,196.00000,-92.00000
-0.11486000000,1.60000,192.00000,-90.00000
-0.11484000000,38.40000,192.00000,-88.00000
-0.11482000000,39.20000,192.00000,-88.00000
-0.11480000000,1.60000,188.00000,-92.00000
-0.11478000000,1.60000,188.00000,-88.00000
-0.11476000000,41.60000,188.00000,-88.00000
-0.11474000000,40.00000,184.00000,-86.00000
-0.11472000000,2.40000,180.00000,-84.00000
-0.11470000000,2.40000,184.00000,-88.00000
-0.11468000000,0.80000,176.00000,-88.00000
-0.11466000000,1.60000,180.00000,-88.00000
-0.11464000000,40.00000,172.00000,-84.00000
-0.11462000000,40.00000,176.00000,-86.00000
-0.11460000000,1.60000,176.00000,-88.00000
-0.11458000000,2.40000,172.00000,-84.00000
-0.11456000000,38.40000,172.00000,-84.00000
-0.11454000000,40.00000,168.00000,-82.00000
-0.11452000000,2.40000,168.00000,-84.00000
-0.11450000000,1.60000,164.00000,-84.00000
-0.11448000000,2.40000,164.00000,-86.00000
-0.11446000000,1.60000,164.00000,-84.00000
-0.11444000000,39.20000,160.00000,-82.00000
-0.11442000000,40.00000,160.00000,-80.00000
-0.11440000000,2.40000,156.00000,-84.00000
-0.11438000000,1.60000,152.00000,-82.00000
-0.11436000000,39.20000,152.00000,-80.00000
-0.11434000000,40.00000,152.00000,-78.00000
-0.11432000000,3.20000,152.00000,-78.00000
-0.11430000000,1.60000,148.00000,-80.00000
-0.11428000000,1.60000,148.00000,-82.00000
-0.11426000000,2.40000,140.00000,-78.00000
-0.11424000000,37.60000,144.00000,-76.00000
-0.11422000000,40.80000,140.00000,-78.00000
-0.11420000000,4.00000,136.00000,-80.00000
-0.11418000000,2.40000,136.00000,-76.00000
-0.11416000000,38.40000,132.00000,-76.00000
-0.11414000000,38.40000,132.00000,-76.00000
-0.11412000000,3.20000,128.00000,-74.00000
-0.11410000000,2.40000,124.00000,-74.00000
-0.11408000000,1.60000,124.00000,-76.00000
-0.11406000000,2.40000,124.00000,-74.00000
-0.11404000000,40.00000,120.00000,-72.00000
-0.11402000000,40.80000,120.00000,-74.00000
-0.11400000000,2.40000,116.00000,-76.00000
-0.11398000000,0.80000,112.00000,-72.00000
-0.11396000000,40.00000,108.00000,-72.00000
-0.11394000000,40.00000,112.00000,-70.00000
-0.11392000000,3.20000,108.00000,-68.00000
-0.11390000000,1.60000,104.00000,-70.00000
-0.11388000000,2.40000,104.00000,-72.00000
-0.11386000000,2.40000,100.00000,-68.00000
-0.11384000000,39.20000,96.00000,-66.00000
-0.11382000000,40.80000,96.00000,-68.00000
-0.11380000000,1.60000,96.00000,-70.00000
-0.11378000000,2.40000,96.00000,-66.00000
-0.11376000000,40.00000,96.00000,-66.00000
-0.11374000000,39.20000,88.00000,-64.00000
-0.11372000000,1.60000,88.00000,-64.00000
-0.11370000000,2.40000,88.00000,-62.00000
-0.11368000000,0.00,84.00000,-64.00000
-0.11366000000,-21.60000,80.00000,-62.00000
-0.11364000000,40.00000,80.00000,-62.00000
-0.11362000000,6.40000,76.00000,-66.00000
-0.11360000000,2.40000,76.00000,-66.00000
-0.11358000000,1.60000,76.00000,-62.00000
-0.11355998750,41.60000,68.00000,-60.00000
-0.11354000000,38.40000,68.00000,-60.00000
-0.11352000000,4.00000,68.00000,-60.00000
-0.11349998750,2.40000,60.00000,-58.00000
-0.11348000000,2.40000,60.00000,-62.00000
-0.11346000000,-36.00000,60.00000,-58.00000
-0.11343998750,40.00000,56.00000,-58.00000
-0.11342000000,2.40000,52.00000,-58.00000
-0.11340000000,3.20000,52.00000,-58.00000
-0.11337998750,3.20000,52.00000,-56.00000
-0.11336000000,40.00000,48.00000,-54.00000
-0.11333998750,-41.60000,44.00000,-54.00000
-0.11331998750,5.60000,40.00000,-54.00000
-0.11330000000,1.60000,44.00000,-52.00000
-0.11327998750,0.80000,36.00000,-54.00000
-0.11325998750,-32.00000,36.00000,-52.00000
-0.11324000000,39.20000,32.00000,-52.00000
-0.11321998750,0.00,28.00000,-54.00000
-0.11320000000,3.20000,32.00000,-54.00000
-0.11318000000,0.00,28.00000,-48.00000
-0.11315998750,44.80000,24.00000,-48.00000
-0.11314000000,-34.40000,24.00000,-48.00000
-0.11312000000,8.00000,16.00000,-46.00000
-0.11309998750,1.60000,16.00000,-44.00000
-0.11308000000,-0.80000,16.00000,-46.00000
-0.11306000000,-39.20000,12.00000,-46.00000
-0.11303998750,36.80000,12.00000,-44.00000
-0.11302000000,0.00,8.00000,-46.00000
-0.11300000000,2.40000,4.00000,-46.00000
-0.11297998750,4.00000,4.00000,-44.00000
-0.11296000000,40.00000,0.00,-44.00000
-0.11293998750,-36.80000,-4.00000,-42.00000
-0.11291998750,4.80000,-4.00000,-40.00000
-0.11290000000,1.60000,-4.00000,-38.00000
-0.11287998750,1.60000,-4.00000,-40.00000
-0.11286000000,-33.60000,-4.00000,-40.00000
-0.11284000000,-35.20000,-8.00000,-40.00000
-0.11281998750,0.80000,-12.00000,-40.00000
-0.11280000000,1.60000,-12.00000,-40.00000
-0.11278000000,2.40000,-12.00000,-34.00000
-0.11275998750,37.60000,-16.00000,-36.00000
-0.11274000000,-33.60000,-20.00000,-36.00000
-0.11272000000,5.60000,-20.00000,-34.00000
-0.11269998750,1.60000,-24.00000,-36.00000
